HS코드,품목명,CAGR,RCA_변화율,점유율_변화율,TSC,수출단가_변화율
1,살아 있는 동물,0.5037598012798217,0.573537437990115,0.30878660548483405,0.0790817245025805,1.0
2,육과 식용 설육(屑肉),0.395225369228459,0.4647496485090769,0.21604028230130007,0.0014199890577961671,0.2686553694625824
3,어류ㆍ갑각류ㆍ연체동물과 그 밖의 수생(水生) 무척추동물,0.39159031202910877,0.4609874962375773,0.21322397622996128,0.26151056785002275,0.2201627241298376
4,"낙농품, 새의 알, 천연꿀, 다른 류로 분류되지 않은 식용인 동물성 생산품",0.3701302559398398,0.43861223552575834,0.19696111498139027,0.046845354401577555,0.26340563845014286
5,다른 류로 분류되지 않은 동물성 생산품,0.29224357126938105,0.3549349850121981,0.14295271618624433,0.20966452119958656,0.4379470219714626
6,"살아 있는 수목과 그 밖의 식물, 인경(鱗莖)ㆍ뿌리와 이와 유사한 물품, 절화(切花)와 장식용 잎",0.0,0.0,0.0,0.03599735036189611,0.3838646555777123
7,식용의 채소ㆍ뿌리ㆍ괴경(塊莖),0.10886429371867898,0.1406884235148717,0.04345975442206168,0.12400632890311686,0.29941714937241326
8,"식용의 과실과 견과류, 감귤류ㆍ멜론의 껍질",0.3377601158580887,0.4043158272558401,0.17358042521413508,0.09298597491004595,0.3332927761505292
9,커피ㆍ차ㆍ마테(maté)ㆍ향신료,0.5430254536453517,0.611299863758182,0.34671058819728856,0.028456058383960203,0.3948724340367565
10,곡물,0.6891398067627758,0.7451252755061937,0.5105224272772116,0.003964675647326388,0.21449490228172324
11,"제분공업의 생산품과 맥아, 전분, 이눌린(inulin), 밀의 글루텐(gluten)",0.3343921047801171,0.40070882407828434,0.1712253848544507,0.12747711176506515,0.3461244218475948
12,"채유(採油)에 적합한 종자와 과실, 각종 종자와 과실, 공업용ㆍ의약용 식물, 짚과 사료용 식물",0.5293677389667588,0.598256430886509,0.33324295587092295,0.2660374255155035,0.4292542311845852
13,"락(lac), 검ㆍ수지ㆍ그 밖의 식물성 수액과 추출물(extract)",0.26507435206283353,0.32478705836577987,0.1258705641880702,0.2475654667279651,0.20478877510036317
14,식물성 편조물(編組物)용 재료와 다른 류로 분류되지 않은 식물성 생산품,0.6184831139359601,0.6816765144963586,0.4266600461037481,0.0,0.0
15,"동물성ㆍ식물성ㆍ미생물성 지방과 기름 및이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스",0.6310344583901979,0.6931153031724435,0.44090211154165465,0.09773185332543127,0.26079062831854477
16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나 그 밖의 수생(水生) 무척추동물 또는 곤충의 조제품,0.37007967995822355,0.438559166243977,0.19692351474028785,0.244206900964616,0.22320262806597016
17,당류(糖類)와 설탕과자,0.33506404008257096,0.40142902824103743,0.17169407515625162,0.18397469919160114,0.31110983276218207
18,코코아와 그 조제품,0.42902377369095696,0.4993512049244043,0.24310006361917105,0.12531416959360592,0.41994358917210173
19,곡물ㆍ고운 가루ㆍ전분ㆍ밀크의 조제품과 베이커리 제품,0.5401705397201287,0.6085813104469241,0.34387069500942924,0.7267745505402998,0.27491075387102787
20,채소ㆍ과실ㆍ견과류나 식물의그 밖의 부분의 조제품,0.39639834544725766,0.4659619273802584,0.2169529071739488,0.381286278123641,0.23780251274316935
21,각종 조제 식료품,0.44344441081868885,0.5139105791362243,0.2551356544584749,0.39726101887992615,0.2898461866136153
22,음료ㆍ주류ㆍ식초,0.4210653440956716,0.49126449238873987,0.23658466438448622,0.44345647955390216,0.2834634334929861
23,"식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료",0.47757024287817235,0.547893850907863,0.28482228220821415,0.11331203191626399,0.21093766969994268
24,"담배와 제조한 담배 대용물, 연소시키지 않고흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것",0.3479152118674722,0.415147125158396,0.18076904946631592,0.7047062939285739,0.21748354066545633
25,"소금, 황, 토석류(土石類), 석고ㆍ석회ㆍ시멘트",0.29498155273632853,0.3579447844165433,0.14472304105118022,0.25495767354565535,0.33746341841436944
26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),0.578599529706065,0.6448283173588998,0.3832124691152674,0.039469010477290234,0.6554523353999896
27,"광물성 연료ㆍ광물유(鑛物油)와 이들의 증류물, 역청(瀝靑)물질, 광물성 왁스",0.627526625835824,0.6899258615570869,0.43689385847601936,0.25325655034054445,0.468891424833208
28,"무기화학품, 귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의 유기화합물이나 무기화합물",0.5639257771817008,0.6310754239063713,0.3679037561008413,0.46239384094345637,0.4613561473079587
29,유기화학품,0.4537885035443671,0.5242807255618491,0.26395355962691447,0.6439532754031034,0.33633274869998997
30,의료용품,0.3634263473515905,0.43156389110126125,0.19200664251358135,0.4809431428721376,0.4584201519567046
31,비료,0.42764481463279846,0.49795266874002075,0.24196471959230814,0.38041469995450533,0.3811164621020834
32,"유연용ㆍ염색용 추출물(extract), 탄닌과 이들의 유도체, 염료ㆍ안료와 그 밖의 착색제, 페인트ㆍ바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크",0.34409572784575776,0.4110811042578203,0.17804976839703618,0.5628467119068497,0.24140075391537608
